school,testoptional?,appliestoclassyear(s),numberofapplicants,sat25,sat75,accept_rate
Stanford University,Yes,2021,47452,1440.0,1570.0,0.043
Harvard College,Yes,2021,42749,1460.0,1580.0,0.047
Princeton University,Yes,2021,35370,1440.0,1570.0,0.055
Columbia University,Yes,2021,40203,1450.0,1560.0,0.055
Yale University,Yes,2021,36844,1460.0,1570.0,0.061
California Institute of Technology,Yes (TB),2021 2022,8367,1530.0,1560.0,0.064
Massachusetts Institute of Technology,Yes,2021,21706,1500.0,1570.0,0.067
Brown University,Yes,2021,38674,1440.0,1570.0,0.071
University of Chicago,Yes,All / Permanent Policy,32283,1490.0,1570.0,0.073
Pomona College,Yes,2021,10401,1390.0,1540.0,0.07400000000000001
University of Pennsylvania,Yes,2021,44961,1450.0,1560.0,0.077
Dartmouth College,Yes,2021,23650,1440.0,1560.0,0.079
Bowdoin College,Yes,All / Permanent Policy,9332,1330.0,1520.0,0.08800000000000001
Duke University,Yes,2021,35767,1450.0,1570.0,0.08900000000000001
Swarthmore College,Yes,2021 2022,11442,1380.0,1540.0,0.08900000000000001
Northwestern University,Yes,2021,40585,1440.0,1550.0,0.091
Vanderbilt University,Yes,2021,37310,1460.0,1560.0,0.091
Claremont McKenna College,Yes,2021,6066,1360.0,1510.0,0.10300000000000001
Johns Hopkins University,Yes,2021,29129,1470.0,1560.0,0.106
Cornell University,Yes,2021,49114,1400.0,1560.0,0.109
Rice University,Yes,2021,20923,1450.0,1560.0,0.111
Amherst College,Yes,2021,10569,1410.0,1550.0,0.113
Barnard College,Yes,2021,9320,1340.0,1520.0,0.11800000000000001
Bates College,Yes,All / Permanent Policy,8222,1270.0,1480.0,0.121
University of California—​Los Angeles,Yes,2021 2022 2023 2024,111322,1290.0,1510.0,0.12300000000000001
Tulane University,Yes,2021,42185,1360.0,1520.0,0.129
University of Southern California,Yes,2021,64352,1350.0,1530.0,0.13
Williams College,Yes,2021,9560,1410.0,1550.0,0.13
Colby College,Yes,All / Permanent Policy,12313,1350.0,1510.0,0.13
Pitzer College,Yes,All / Permanent Policy,4358,1340.0,1490.0,0.133
Colorado College,Yes,All / Permanent Policy,9456,1300.0,1480.0,0.135
Harvey Mudd College,Yes,2021,4045,1490.0,1570.0,0.13699999999999998
Georgetown University,Yes,2021,22872,1370.0,1530.0,0.145
University of California—​Berkeley,Yes (TB),2021 2022 2023 2024,89621,1300.0,1530.0,0.14800000000000002
Tufts University,Yes,2021 2022 2023,22766,1390.0,1540.0,0.15
Washington University in St. Louis,Yes,2021,31320,1470.0,1570.0,0.15
Middlebury College,Yes,2021 2022 2023,9754,1360.0,1530.0,0.154
Carnegie Mellon University,Yes,2021,27634,1460.0,1560.0,0.154
University of Notre Dame,Yes,2021,22200,1400.0,1550.0,0.158
