,overall_qual,tot_liv_area,exter_qual,kitchen_qual,garage_area,bsmt_qual,year_remod/add,fireplace_qu,full_bath,totrms_abvgrd,heating_qc,sale_type,exterior_1st,neighborhood,1.5Fin,1.5Unf,1Story,2.5Fin,2.5Unf,2Story,SFoyer,SLvl,Flat,Gable,Gambrel,Hip,Mansard,Shed,BrkCmn,BrkFace,NA,None,Stone,BrkTil,CBlock,PConc,Slab,Stone,Wood,N,Y
0,6,2012.0,4,4,475.0,3,2005,0,2,6,5,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,7,2759.0,4,4,559.0,4,1997,3,2,8,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,5,1788.0,3,4,246.0,3,2007,0,1,5,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3,5,1444.0,3,3,400.0,4,2007,0,2,7,4,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,6,1445.0,3,3,484.0,2,1993,0,2,6,3,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,6,2848.0,4,4,578.0,3,2002,4,2,6,5,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
6,6,1619.0,3,3,525.0,4,2006,0,2,5,4,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7,5,2188.0,3,3,531.0,3,1959,0,1,6,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8,5,1216.0,3,3,420.0,3,1952,0,1,6,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
9,5,2730.0,3,2,504.0,4,1969,3,1,9,3,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
10,6,1374.0,3,3,264.0,3,1971,0,1,4,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
11,7,1601.0,4,4,632.0,4,2005,0,2,6,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,5,2016.0,4,3,576.0,0,2007,3,1,7,5,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13,8,2420.0,4,4,480.0,4,2000,0,2,7,5,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,7,1385.0,4,4,610.0,4,2007,0,2,6,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,5,1430.0,3,4,624.0,5,2005,0,2,7,5,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
16,5,1344.0,3,3,513.0,3,1950,0,1,7,2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
17,5,1772.0,3,3,480.0,3,1963,0,1,5,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
18,6,1285.0,3,3,528.0,3,1977,3,1,7,5,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
19,7,1571.0,3,4,614.0,4,2009,0,2,7,5,2,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
20,5,1386.0,3,3,450.0,4,1968,1,1,5,4,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
21,8,2817.0,4,5,499.0,4,2000,5,2,5,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
