,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,tot_liv_area,1.5Fin,1.5Unf,1Story,2.5Fin,2.5Unf,2Story,SFoyer,SLvl,Flat,Gable,Gambrel,Hip,Mansard,Shed,BrkCmn,BrkFace,NA,None,Stone,BrkTil,CBlock,PConc,Slab,Stone,Wood,N,Y
0,533352170,60,RL,69.05520046484602,13517,Pave,NA,3,Lvl,3,CulDSac,3,1,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,1,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,Y,5,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,8,0,0,Attchd,1976.0,2,2.0,475.0,3,3,3,0,44,0,0,0,0,0,0,NA,0,3,2010,1,130500,2012.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,531379050,60,RL,43.0,11492,Pave,NA,3,Lvl,3,CulDSac,3,2,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,3,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,Y,5,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,8,1,3,Attchd,1997.0,2,2.0,559.0,3,3,3,0,74,0,0,0,0,0,0,NA,0,4,2009,1,220000,2759.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,535304180,20,RL,68.0,7922,Pave,NA,4,Lvl,3,Inside,3,1,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,3,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,Y,5,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,8,0,0,Detchd,1953.0,1,1.0,246.0,3,3,3,0,52,0,0,0,0,0,0,NA,0,1,2010,1,109000,1788.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3,916386060,60,RL,73.0,9802,Pave,NA,4,Lvl,3,Inside,3,3,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,3,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,Y,5,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,8,0,0,BuiltIn,2007.0,3,2.0,400.0,3,3,3,100,0,0,0,0,0,0,0,NA,0,4,2010,1,174000,1444.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,906425045,50,RL,82.0,14235,Pave,NA,3,Lvl,3,Inside,3,2,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,1,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,Y,5,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,8,0,0,Detchd,1957.0,1,2.0,484.0,3,3,1,0,59,0,0,0,0,0,0,NA,0,3,2010,1,138500,1445.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,535126040,20,RL,137.0,16492,Pave,NA,3,Lvl,3,Corner,3,1,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,2,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,Y,5,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,5,1,4,Attchd,1966.0,3,2.0,578.0,3,3,3,0,0,0,0,0,0,0,0,NA,0,6,2010,1,190000,2848.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
6,908186070,180,RM,35.0,3675,Pave,NA,4,Lvl,3,Inside,3,1,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,3,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,Y,5,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,8,0,0,Basment,2005.0,3,2.0,525.0,3,3,3,0,44,0,0,0,0,0,0,NA,0,6,2006,3,140000,1619.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7,535154050,20,RL,69.05520046484602,12160,Pave,NA,3,Lvl,3,Inside,3,1,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,2,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,Y,5,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1959.0,2,2.0,531.0,3,3,3,0,0,0,0,0,0,0,3,NA,0,5,2010,1,142000,2188.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8,535353130,20,RL,69.05520046484602,15783,Pave,NA,4,Lvl,3,Inside,3,1,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,1,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,Y,5,924,0,0,924,0.0,0.0,1,0,2,1,3,6,8,0,0,Detchd,1952.0,1,1.0,420.0,3,3,3,0,324,0,0,0,0,0,3,Shed,400,6,2007,1,112500,1216.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
9,535426130,60,RL,70.0,11606,Pave,NA,3,HLS,3,Inside,1,1,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,2,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,Y,5,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,8,2,3,Attchd,1969.0,1,2.0,504.0,3,3,3,335,0,0,0,0,0,0,0,NA,0,9,2007,1,135000,2730.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
10,527451290,160,RM,21.0,1680,Pave,NA,4,Lvl,3,Inside,3,1,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,1,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,Y,5,483,504,0,987,0.0,0.0,1,1,2,1,3,4,8,0,0,Detchd,1971.0,1,1.0,264.0,3,3,3,0,0,0,0,0,0,0,0,NA,0,7,2008,1,85400,1374.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
11,906380150,20,RL,64.0,7488,Pave,NA,3,Lvl,3,Inside,3,3,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,3,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,Y,5,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,8,0,0,Attchd,2005.0,2,2.0,632.0,3,3,3,105,58,0,0,0,0,0,0,NA,0,2,2006,1,183600,1601.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,906226060,70,RL,120.0,26400,Pave,NA,4,Bnk,3,FR2,3,2,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,1,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,Y,5,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,5,1,3,Attchd,1900.0,1,2.0,576.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,6,2009,1,131000,2016.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13,533236070,160,FV,24.0,2645,Pave,Pave,4,Lvl,3,Inside,3,3,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,1,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,Y,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,8,0,0,Detchd,2000.0,1,2.0,480.0,3,3,3,169,0,0,0,0,0,0,0,NA,0,12,2008,2,200000,2420.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,907418040,20,RL,74.0,9627,Pave,NA,4,Lvl,3,Inside,3,3,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,3,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,Y,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,8,0,0,Attchd,2007.0,2,2.0,610.0,3,3,3,0,50,0,0,0,0,0,0,NA,0,6,2008,1,193000,1385.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,923202105,20,RL,93.0,10114,Pave,NA,4,Lvl,3,Inside,3,2,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,3,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,Y,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2004.0,2,2.0,624.0,3,3,3,0,0,0,0,0,0,0,0,NA,0,3,2010,1,173500,1430.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
