,overall_qual,exter_qual,tot_liv_area,kitchen_qual,garage_area,1st_flr_sf,year_remod/add,fireplace_qu,full_bath,totrms_abvgrd,heating_qc,sale_type,exterior_1st,neighborhood,1.5Fin,1.5Unf,1Story,2.5Fin,2.5Unf,2Story,SFoyer,SLvl,Flat,Gable,Gambrel,Hip,Mansard,Shed,BrkCmn,BrkFace,NA,None,Stone,BrkTil,CBlock,PConc,Slab,Stone,Wood,N,Y
0,6,4,2012.0,4,475.0,725,2005,0,2,6,5,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,7,4,2759.0,4,559.0,913,1997,3,2,8,5,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2,5,3,1788.0,4,246.0,1057,2007,0,1,5,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3,5,3,1444.0,3,400.0,744,2007,0,2,7,4,1,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,6,3,1445.0,3,484.0,831,1993,0,2,6,3,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,6,4,2848.0,4,578.0,1888,2002,4,2,6,5,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
6,6,3,1619.0,3,525.0,1072,2006,0,2,5,4,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
7,5,3,2188.0,3,531.0,1188,1959,0,1,6,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8,5,3,1216.0,3,420.0,924,1952,0,1,6,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
9,5,3,2730.0,2,504.0,1040,1969,3,1,9,3,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
10,6,3,1374.0,3,264.0,483,1971,0,1,4,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
11,7,4,1601.0,4,632.0,1208,2005,0,2,6,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,5,4,2016.0,3,576.0,1288,2007,3,1,7,5,1,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13,8,4,2420.0,4,480.0,962,2000,0,2,7,5,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
14,7,4,1385.0,4,610.0,1361,2007,0,2,6,5,1,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,5,3,1430.0,4,624.0,1430,2005,0,2,7,5,1,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
16,5,3,1344.0,3,513.0,624,1950,0,1,7,2,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
17,5,3,1772.0,3,480.0,1121,1963,0,1,5,3,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
18,6,3,1285.0,3,528.0,1285,1977,3,1,7,5,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
