month,agemths,outcometype,agemths,sex,speutered,breed,black,unpopular
2,12,1,12,0,1.0,Shetland Sheepdog Mix,0,0
10,12,4,12,1,1.0,Domestic Shorthair Mix,0,0
1,24,0,24,0,1.0,Pit Bull Mix,0,1
7,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
11,24,2,24,0,1.0,Lhasa Apso/Miniature Poodle,0,0
4,1,2,1,1,0.0,Cairn Terrier/Chihuahua Shorthair,0,0
3,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
4,0,2,0,2,Unknown,Domestic Shorthair Mix,0,0
2,5,0,5,1,1.0,American Pit Bull Terrier Mix,0,0
5,12,0,12,1,1.0,Cairn Terrier,0,0
12,24,2,24,2,Unknown,Domestic Shorthair Mix,1,0
11,24,0,24,1,1.0,Miniature Schnauzer Mix,0,0
2,48,0,48,0,1.0,Pit Bull Mix,0,1
6,24,1,24,0,1.0,Yorkshire Terrier Mix,0,0
11,12,1,12,0,1.0,Great Pyrenees Mix,0,0
7,3,0,3,0,1.0,Domestic Shorthair Mix,0,0
5,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
6,0,2,0,1,0.0,Pit Bull Mix,0,1
5,24,2,24,1,0.0,Angora Mix,0,0
7,12,1,12,0,1.0,Flat Coat Retriever Mix,1,0
1,2,2,2,0,0.0,Queensland Heeler Mix,0,0
9,12,2,12,1,1.0,Domestic Shorthair Mix,0,0
8,24,0,24,1,1.0,Plott Hound/Boxer,0,0
10,10,0,10,0,1.0,German Shepherd Mix,0,1
4,2,1,2,0,1.0,German Shepherd Mix,0,1
10,1,2,1,1,0.0,Domestic Shorthair Mix,0,0
1,6,0,6,1,1.0,American Staffordshire Terrier Mix,0,0
3,60,0,60,1,1.0,Chihuahua Shorthair Mix,0,1
11,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
7,84,1,84,0,1.0,Russian Blue Mix,0,0
1,36,4,36,1,1.0,Domestic Shorthair Mix,0,0
7,4,2,4,0,0.0,Labrador Retriever Mix,0,0
7,2,0,2,1,1.0,Domestic Shorthair Mix,0,0
11,60,1,60,0,1.0,Collie Smooth/German Shepherd,0,0
4,36,2,36,0,1.0,Chihuahua Shorthair Mix,0,1
12,36,4,36,0,0.0,Labrador Retriever Mix,0,0
10,36,1,36,0,1.0,Pit Bull Mix,0,1
7,2,2,2,0,0.0,Domestic Shorthair Mix,0,0
8,4,2,4,0,1.0,Domestic Shorthair Mix,0,0
7,0,2,0,0,0.0,Domestic Shorthair Mix,0,0
4,84,0,84,1,1.0,Domestic Shorthair Mix,0,0
6,2,2,2,0,0.0,Domestic Shorthair Mix,0,0
12,2,2,2,1,0.0,Domestic Shorthair Mix,0,0
1,48,2,48,0,0.0,Domestic Longhair Mix,0,0
5,24,0,24,0,1.0,Domestic Shorthair Mix,0,0
8,144,1,144,0,1.0,Beagle,0,0
8,108,1,108,1,1.0,Domestic Shorthair Mix,0,0
5,0,2,0,1,0.0,Domestic Shorthair Mix,1,0
